"slug","name","grade","critical","red_cats","yellow_cats","gray_core5"
"wormhole","Wormhole","B","0","0","0","0"
"eigenlayer","EigenLayer","C","0","0","0","0"
"ether-fi","ether.fi","C","0","0","0","0"
"euler-v2","Euler V2","C","0","0","0","0"
"gmx-v2","GMX v2 (GMX Synthetics)","C","0","0","0","0"
"jito","Jito","C","0","0","0","0"
"lido","Lido","C","0","0","0","0"
"raydium","Raydium","C","0","0","0","0"
"sky-lending","Sky Lending (formerly MakerDAO)","C","0","0","0","0"
"stargate","Stargate Finance","C","0","0","0","0"
"uniswap","Uniswap (v2 + v3)","C","0","0","0","0"
"aave-v3","Aave v3","D","0","0","0","0"
"across-protocol","Across Protocol","D","0","0","0","0"
"babylon-protocol","Babylon Protocol","D","0","0","0","0"
"curve-v2","Curve Finance","D","0","0","0","0"
"kamino-lend","Kamino Lend","D","0","0","0","0"
"morpho-v1","Morpho V1 (Morpho Blue + MetaMorpho)","D","0","0","0","0"
"ondo-finance","Ondo Finance","D","0","0","0","0"
"aerodrome","Aerodrome Finance","F","0","0","0","0"
"balancer","Balancer (v2 + v3)","F","0","0","0","0"
"blackrock-buidl","BlackRock USD Institutional Digital Liquidity Fund (BUIDL)","F","0","0","0","0"
"centrifuge","Centrifuge","F","0","0","0","0"
"compound-v3","Compound V3 (Comet)","F","0","0","0","0"
"debridge","deBridge","F","0","0","0","0"
"ethena","Ethena","F","0","0","0","0"
"fluid","Fluid","F","0","0","0","0"
"hyperliquid","Hyperliquid","F","0","0","0","0"
"jupiter","Jupiter","F","0","0","0","0"
"lombard","Lombard Finance","F","0","0","0","0"
"maple-finance","Maple Finance","F","0","0","0","0"
"pancakeswap","PancakeSwap","F","0","0","0","0"
"pendle","Pendle Finance","F","0","0","0","0"
"polymarket","Polymarket","F","0","0","0","0"
"rocket-pool","Rocket Pool","F","0","0","0","0"
"sanctum","Sanctum","F","0","0","0","0"
"spark","Spark Protocol","F","0","0","0","0"
"synapse","Synapse Protocol","F","0","0","0","0"
"venus","Venus Protocol","F","0","0","0","0"
